current toon,new toon,number of dots,level,set,shape,primary stat type,primary stat value,secondary stat type,secondary stat value,secondary stat type,secondary stat value,secondary stat type,secondary stat value,secondary stat type,secondary stat value
Wedge Antilles,TBD,5,15,Health,arrow,Speed,30.0,Offense%,0.86,Potency%,3.06,Critical Chance%,2.24,Protection%,2.1
Commander Luke Skywalker,TBD,5,15,Health,arrow,Speed,30.0,Offense,72.0,Defense,14.0,Potency%,1.97,Defense%,1.49
Stormtrooper Han,TBD,5,15,Health,arrow,Critical Avoidance%,24.0,Speed,4.0,Defense%,3.33,Critical Chance%,1.5,Defense,7.0
Rey (Jedi Training),TBD,5,15,Defense,arrow,Speed,30.0,Tenacity%,1.46,Potency%,4.13,Defense%,1.03,Defense,9.0
Biggs Darklighter,TBD,5,15,Defense,arrow,Speed,30.0,Offense,91.0,Protection%,1.74,Tenacity%,2.22,Protection,679.0
Sun Fac,TBD,5,15,Defense,arrow,Speed,30.0,Tenacity%,4.62,Critical Chance%,1.84,Health,297.0,Health%,1.12
Shoretrooper,TBD,5,15,Defense,arrow,Speed,30.0,Tenacity%,3.66,Potency%,3.66,Protection,632.0,Health%,1.04
Snowtrooper,TBD,5,15,Defense,arrow,Speed,30.0,Defense%,2.73,Offense%,0.33,Protection%,5.2,Defense,5.0
First Order TIE Pilot,TBD,5,15,Defense,arrow,Speed,30.0,Health%,1.11,Defense,8.0,Critical Chance%,1.21,Protection%,2.15
Death Trooper,TBD,5,15,Defense,arrow,Speed,30.0,Protection%,1.4,Health%,1.12,Critical Chance%,1.9,Potency%,2.08
Chopper,TBD,5,15,Defense,arrow,Speed,30.0,Potency%,1.42,Offense%,0.32,Protection%,1.72,Defense%,1.23
TIE Fighter Pilot,TBD,5,15,Crit Damage,arrow,Speed,30.0,Offense%,0.85,Tenacity%,1.52,Defense%,0.97,Potency%,1.52
Emperor Palpatine,TBD,5,15,Crit Damage,arrow,Speed,30.0,Health,308.0,Offense%,0.35,Health%,0.96,Critical Chance%,2.13
Plo Koon,TBD,5,15,Crit Chance,arrow,Accuracy%,12.0,Protection%,1.89,Potency%,7.51,Offense,43.0,Offense%,0.32
Hera Syndulla,TBD,5,15,Crit Chance,arrow,Health%,5.88,Defense%,1.33,Protection%,1.57,Protection,434.0,Critical Chance%,1.83
Ezra Bridger,TBD,5,15,Crit Chance,arrow,Defense%,11.75,Critical Chance%,3.09,Health,296.0,Potency%,1.96,Health%,0.77
HK-47,TBD,5,15,Offense,arrow,Speed,30.0,Offense,96.0,Protection%,2.07,Protection,514.0,Offense%,1.39
Rey (Scavenger),TBD,5,15,Offense,arrow,Speed,30.0,Health%,1.16,Defense,14.0,Protection,767.0,Critical Chance%,2.23
Resistance Trooper,TBD,5,15,Potency,arrow,Speed,30.0,Tenacity%,3.35,Defense,9.0,Defense%,1.29,Offense,26.0
General Veers,TBD,5,15,Potency,arrow,Speed,30.0,Health%,1.3,Health,335.0,Potency%,5.2,Defense%,1.53
Darth Vader,TBD,5,15,Potency,arrow,Speed,30.0,Offense%,0.38,Health%,2.63,Health,627.0,Protection,821.0
Poe Dameron,TBD,5,15,Potency,arrow,Speed,30.0,Health,248.0,Defense,7.0,Offense%,0.51,Potency%,1.77
R2-D2,TBD,5,15,Potency,arrow,Speed,30.0,Protection%,3.3,Defense,11.0,Health,236.0,Offense,33.0
Kylo Ren,TBD,5,15,Potency,arrow,Critical Avoidance%,24.0,Protection,424.0,Health,301.0,Tenacity%,1.98,Protection%,2.12
Colonel Starck,TBD,5,15,Potency,arrow,Speed,30.0,Health%,1.92,Tenacity%,2.46,Protection,1205.0,Defense%,1.17
Finn,TBD,5,15,Potency,arrow,Speed,30.0,Tenacity%,2.09,Protection%,1.47,Offense,34.0,Defense%,1.17
Admiral Ackbar,TBD,5,15,Speed,arrow,Protection%,23.5,Defense%,2.61,Protection,825.0,Defense,6.0,Health%,0.93
Grand Moff Tarkin,TBD,5,15,Speed,arrow,Speed,30.0,Defense%,3.09,Critical Chance%,1.58,Protection,2090.0,Health,360.0
BB-8,TBD,5,15,Speed,arrow,Offense%,5.88,Potency%,2.17,Offense,34.0,Health%,0.66,Defense%,1.04
Grand Admiral Thrawn,cls,5,15,Speed,arrow,Speed,30.0,Offense%,0.98,Protection%,1.62,Offense,40.0,Critical Chance%,1.13
Asajj Ventress,TBD,5,15,Health,diamond,Defense%,11.75,Tenacity%,1.2,Speed,13.0,Offense%,0.37,Health%,1.09
Savage Opress,TBD,5,15,Health,diamond,Defense%,11.75,Tenacity%,3.41,Health%,1.85,Potency%,5.33,Offense%,0.52
Darth Maul,TBD,5,15,Health,diamond,Defense%,11.75,Tenacity%,1.12,Potency%,1.92,Offense,44.0,Protection%,1.41
CT-5555 "Fives",TBD,5,15,Health,diamond,Defense%,11.75,Offense,115.0,Health%,0.58,Tenacity%,1.73,Protection,445.0
First Order Stormtrooper,TBD,5,15,Health,diamond,Defense%,11.75,Health%,1.94,Offense%,0.9,Critical Chance%,2.05,Protection%,2.13
First Order TIE Pilot,TBD,5,15,Health,diamond,Defense%,11.75,Offense,37.0,Potency%,1.25,Tenacity%,1.34,Defense,9.0
Baze Malbus,TBD,5,15,Health,diamond,Defense%,11.75,Speed,8.0,Protection%,2.92,Protection,1763.0,Offense%,0.52
Kylo Ren,TBD,5,15,Health,diamond,Defense%,11.75,Critical Chance%,5.57,Protection%,1.91,Offense,42.0,Health%,1.09
Grand Admiral Thrawn,TBD,5,15,Health,diamond,Defense%,11.75,Speed,7.0,Critical Chance%,1.44,Potency%,1.58,Offense,39.0
Chopper,TBD,5,15,Health,diamond,Defense%,11.75,Potency%,3.5,Offense%,1.0,Critical Chance%,3.38,Health%,1.78
K-2SO,TBD,5,15,Health,diamond,Defense%,11.75,Potency%,3.9,Critical Chance%,1.49,Offense,37.0,Offense%,0.35
Stormtrooper Han,TBD,5,15,Health,diamond,Defense%,11.75,Speed,9.0,Offense,66.0,Tenacity%,1.59,Health%,0.56
Sun Fac,TBD,5,15,Defense,diamond,Defense%,11.75,Defense,5.0,Offense,43.0,Health,426.0,Health%,0.73
Shoretrooper,TBD,5,15,Defense,diamond,Defense%,11.75,Offense%,1.08,Critical Chance%,3.77,Tenacity%,3.18,Speed,10.0
Poe Dameron,TBD,5,15,Defense,diamond,Defense%,11.75,Speed,13.0,Health,226.0,Protection,1001.0,Health%,1.74
Finn,TBD,5,15,Defense,diamond,Defense%,11.75,Speed,8.0,Tenacity%,3.2,Offense,41.0,Critical Chance%,1.92
Biggs Darklighter,TBD,5,15,Crit Damage,diamond,Defense%,11.75,Tenacity%,2.81,Speed,3.0,Offense%,0.54,Defense,7.0
Han Solo,bandy legs,5,15,Crit Damage,diamond,Defense%,11.75,Offense%,0.62,Defense,9.0,Speed,6.0,Protection,1992.0
Princess Leia,TBD,5,15,Crit Damage,diamond,Defense%,11.75,Protection%,3.31,Tenacity%,1.39,Protection,490.0,Health%,0.59
Lando Calrissian,TBD,5,15,Crit Damage,diamond,Defense%,11.75,Health,695.0,Protection%,2.08,Tenacity%,1.82,Critical Chance%,1.86
TIE Fighter Pilot,TBD,5,15,Crit Damage,diamond,Defense%,11.75,Offense,69.0,Health%,1.31,Offense%,0.87,Protection%,2.63
Chirrut Îmwe,TBD,5,15,Crit Damage,diamond,Defense%,11.75,Critical Chance%,5.38,Speed,3.0,Protection%,1.53,Tenacity%,1.79
Snowtrooper,TBD,5,15,Crit Damage,diamond,Defense%,11.75,Offense,28.0,Potency%,1.52,Health,289.0,Tenacity%,1.36
Death Trooper,TBD,5,15,Crit Damage,diamond,Defense%,11.75,Health,615.0,Tenacity%,3.33,Protection,781.0,Offense,33.0
Wedge Antilles,TBD,5,15,Crit Damage,diamond,Defense%,11.75,Offense%,0.37,Critical Chance%,5.66,Protection%,2.2,Health,394.0
Jyn Erso,TBD,5,15,Crit Chance,diamond,Defense%,11.75,Health%,0.66,Health,295.0,Critical Chance%,1.24,Offense,44.0
Boba Fett,TBD,5,15,Crit Chance,diamond,Defense%,11.75,Protection,675.0,Health,360.0,Offense,24.0,Offense%,0.32
Rey (Jedi Training),TBD,5,15,Tenacity,diamond,Defense%,11.75,Tenacity%,5.24,Speed,8.0,Protection%,1.27,Potency%,2.12
Darth Vader,TBD,5,15,Tenacity,diamond,Defense%,11.75,Protection,1671.0,Speed,5.0,Health,735.0,Tenacity%,1.54
Hera Syndulla,TBD,5,15,Tenacity,diamond,Defense%,11.75,Defense,8.0,Speed,4.0,Protection,726.0,Health,339.0
Darth Nihilus,TBD,5,15,Tenacity,diamond,Defense%,11.75,Protection,1303.0,Critical Chance%,1.18,Tenacity%,1.61,Speed,5.0
Nightsister Acolyte,TBD,5,15,Tenacity,diamond,Defense%,11.75,Offense%,1.26,Protection%,3.17,Speed,5.0,Tenacity%,2.14
Resistance Trooper,TBD,5,15,Potency,diamond,Defense%,11.75,Health%,1.24,Critical Chance%,1.91,Potency%,1.85,Defense,8.0
Obi-Wan Kenobi (Old Ben),TBD,5,15,Potency,diamond,Defense%,11.75,Potency%,4.88,Defense,5.0,Speed,7.0,Health%,0.61
Luke Skywalker (Farmboy),TBD,5,15,Potency,diamond,Defense%,11.75,Offense%,0.39,Offense,32.0,Tenacity%,2.05,Health%,0.59
Grand Moff Tarkin,TBD,5,15,Potency,diamond,Defense%,11.75,Defense,7.0,Offense%,0.32,Offense,29.0,Tenacity%,1.71
Ezra Bridger,TBD,5,15,Potency,diamond,Defense%,11.75,Offense%,0.42,Potency%,1.81,Protection,681.0,Critical Chance%,1.76
R2-D2,TBD,5,15,Potency,diamond,Defense%,11.75,Critical Chance%,2.96,Speed,8.0,Offense%,0.39,Offense,25.0
Darth Sidious,TBD,5,15,Potency,diamond,Defense%,11.75,Protection,532.0,Health,317.0,Offense,36.0,Tenacity%,1.83
Emperor Palpatine,TBD,5,15,Potency,diamond,Defense%,11.75,Protection,532.0,Potency%,1.27,Defense,7.0,Tenacity%,1.99
Colonel Starck,TBD,5,15,Potency,diamond,Defense%,11.75,Speed,8.0,Health,1098.0,Health%,0.8,Offense,36.0
Admiral Ackbar,TBD,5,15,Speed,diamond,Defense%,11.75,Offense%,0.29,Potency%,1.14,Speed,4.0,Health,365.0
General Veers,TBD,5,15,Speed,diamond,Defense%,11.75,Protection,1096.0,Offense,33.0,Health,375.0,Critical Chance%,1.45
Eeth Koth,TBD,5,15,Speed,diamond,Defense%,11.75,Protection%,1.55,Potency%,2.09,Offense,31.0,Health,244.0
BB-8,TBD,5,15,Speed,diamond,Defense%,11.75,Offense,30.0,Tenacity%,1.22,Speed,4.0,Health%,0.92
Rey (Jedi Training),TBD,5,15,Health,triangle,Critical Chance%,12.0,Offense,39.0,Health,340.0,Tenacity%,1.77,Speed,5.0
Mother Talzin,TBD,5,15,Health,triangle,Offense%,5.88,Tenacity%,1.95,Speed,14.0,Offense,44.0,Potency%,1.72
Baze Malbus,TBD,5,15,Health,triangle,Protection%,23.5,Speed,5.0,Defense,16.0,Health%,1.96,Defense%,1.43
Stormtrooper Han,TBD,5,15,Health,triangle,Health%,5.88,Health,317.0,Potency%,1.67,Speed,5.0,Defense,9.0
Sun Fac,TBD,5,15,Defense,triangle,Critical Damage%,36.0,Potency%,3.99,Speed,4.0,Health,370.0,Critical Chance%,2.12
BB-8,TBD,5,15,Defense,triangle,Offense%,5.88,Speed,6.0,Defense,6.0,Protection%,2.22,Offense,24.0
Finn,TBD,5,15,Defense,triangle,Health%,5.88,Speed,9.0,Tenacity%,1.56,Defense,8.0,Defense%,1.06
Biggs Darklighter,TBD,5,15,Crit Damage,triangle,Critical Chance%,12.0,Protection,633.0,Speed,14.0,Offense,38.0,Health,219.0
Asajj Ventress,TBD,5,15,Crit Damage,triangle,Protection%,23.5,Potency%,3.99,Offense,66.0,Tenacity%,2.11,Health%,0.89
Lando Calrissian,TBD,5,15,Crit Damage,triangle,Critical Chance%,12.0,Defense%,1.92,Offense%,0.52,Potency%,2.11,Speed,3.0
Chirrut Îmwe,TBD,5,15,Crit Damage,triangle,Critical Chance%,12.0,Protection,652.0,Speed,16.0,Defense,5.0,Health%,0.66
Snowtrooper,TBD,5,15,Crit Damage,triangle,Offense%,5.88,Health,1006.0,Speed,5.0,Tenacity%,1.62,Critical Chance%,1.9
Death Trooper,TBD,5,15,Crit Damage,triangle,Health%,5.88,Potency%,2.09,Speed,10.0,Defense,30.0,Protection%,1.79
Wedge Antilles,TBD,5,15,Crit Damage,triangle,Defense%,11.75,Speed,7.0,Health%,0.71,Potency%,1.16,Protection%,1.91
Jyn Erso,TBD,5,15,Crit Chance,triangle,Critical Chance%,12.0,Defense%,2.43,Defense,8.0,Health%,0.79,Offense,28.0
Ezra Bridger,TBD,5,15,Crit Chance,triangle,Critical Damage%,36.0,Offense%,0.73,Offense,73.0,Health%,0.94,Defense,24.0
Kanan Jarrus,TBD,5,15,Tenacity,triangle,Offense%,5.88,Protection%,5.36,Potency%,3.05,Tenacity%,3.69,Speed,3.0
Kylo Ren,TBD,5,15,Offense,triangle,Protection%,23.5,Speed,3.0,Potency%,2.01,Offense%,1.67,Offense,42.0
First Order Officer,TBD,5,15,Potency,triangle,Defense%,11.75,Health%,1.6,Speed,9.0,Protection,760.0,Offense,40.0
Darth Vader,TBD,5,15,Potency,triangle,Critical Chance%,12.0,Protection%,1.8,Defense,6.0,Speed,5.0,Offense%,0.46
Poe Dameron,TBD,5,15,Potency,triangle,Defense%,11.75,Tenacity%,2.82,Speed,15.0,Health%,0.92,Protection,532.0
Grand Moff Tarkin,TBD,5,15,Potency,triangle,Protection%,23.5,Speed,9.0,Defense,5.0,Offense,31.0,Defense%,1.38
General Veers,TBD,5,15,Speed,triangle,Critical Damage%,36.0,Health,464.0,Tenacity%,1.53,Defense,9.0,Protection%,2.24
Grand Admiral Thrawn,TBD,5,15,Speed,triangle,Defense%,11.75,Offense%,0.7,Speed,4.0,Protection,1690.0,Potency%,1.58
Captain Phasma,TBD,5,15,Speed,triangle,Critical Damage%,36.0,Defense,7.0,Potency%,1.34,Offense,42.0,Protection,711.0
Commander Luke Skywalker,TBD,5,15,Speed,triangle,Defense%,11.75,Tenacity%,1.58,Speed,14.0,Potency%,3.93,Offense,61.0
Colonel Starck,cls,5,15,Speed,triangle,Protection%,23.5,Critical Chance%,1.72,Speed,9.0,Health,218.0,Offense%,1.72
Shoretrooper,TBD,5,15,Health,circle,Protection%,23.5,Health%,3.43,Offense%,0.66,Health,371.0,Critical Chance%,1.86
First Order TIE Pilot,TBD,5,15,Health,circle,Protection%,23.5,Potency%,3.53,Protection,432.0,Health,421.0,Tenacity%,1.26
Jawa Engineer,TBD,5,15,Health,circle,Health%,5.88,Offense,59.0,Tenacity%,1.4,Offense%,0.45,Potency%,1.2
R2-D2,TBD,5,15,Health,circle,Health%,5.88,Speed,12.0,Protection%,1.45,Defense,7.0,Tenacity%,1.77
Mother Talzin,TBD,5,15,Health,circle,Health%,5.88,Speed,13.0,Defense%,1.07,Health,248.0,Defense,7.0
Baze Malbus,TBD,5,15,Health,circle,Health%,5.88,Critical Chance%,3.68,Speed,9.0,Offense%,0.39,Protection%,2.12
Stormtrooper Han,TBD,5,15,Health,circle,Protection%,23.5,Defense,28.0,Defense%,2.65,Health%,1.07,Speed,5.0
Sun Fac,TBD,5,15,Defense,circle,Protection%,23.5,Offense,27.0,Critical Chance%,2.14,Tenacity%,1.24,Potency%,1.91
Biggs Darklighter,TBD,5,15,Crit Damage,circle,Health%,5.88,Speed,8.0,Defense%,1.36,Health,255.0,Tenacity%,1.61
Han Solo,TBD,5,15,Crit Damage,circle,Health%,5.88,Offense%,1.09,Protection,1069.0,Defense,5.0,Speed,10.0
Asajj Ventress,TBD,5,15,Crit Damage,circle,Health%,5.88,Defense,5.0,Critical Chance%,1.71,Health,404.0,Offense%,0.54
Princess Leia,TBD,5,15,Crit Damage,circle,Protection%,23.5,Offense,101.0,Defense%,2.64,Tenacity%,2.07,Defense,5.0
Chirrut Îmwe,TBD,5,15,Crit Damage,circle,Protection%,23.5,Potency%,1.9,Speed,5.0,Critical Chance%,1.74,Health%,0.77
Snowtrooper,TBD,5,15,Crit Damage,circle,Health%,5.88,Defense%,2.26,Potency%,1.78,Critical Chance%,1.59,Tenacity%,1.48
Death Trooper,TBD,5,15,Crit Damage,circle,Health%,5.88,Offense,75.0,Protection%,3.62,Tenacity%,1.19,Offense%,0.45
Wedge Antilles,TBD,5,15,Crit Damage,circle,Protection%,23.5,Health%,1.51,Defense%,1.6,Offense%,0.49,Protection,668.0
Jyn Erso,TBD,5,15,Crit Chance,circle,Protection%,23.5,Speed,3.0,Critical Chance%,3.61,Defense,18.0,Offense,92.0
Darth Maul,TBD,5,15,Crit Chance,circle,Health%,5.88,Protection,609.0,Critical Chance%,1.52,Offense,45.0,Health,220.0
TIE Fighter Pilot,cls,5,15,Crit Chance,circle,Health%,5.88,Speed,8.0,Protection,790.0,Offense%,0.41,Protection%,2.22
Darth Sidious,TBD,5,15,Crit Chance,circle,Protection%,23.5,Tenacity%,1.92,Health,271.0,Offense,43.0,Health%,0.78
Darth Nihilus,TBD,5,15,Crit Chance,circle,Health%,5.88,Critical Chance%,4.04,Health,262.0,Defense%,1.62,Offense%,0.45
Rey (Jedi Training),TBD,5,15,Tenacity,circle,Health%,5.88,Speed,9.0,Critical Chance%,3.14,Tenacity%,1.21,Potency%,2.06
Lando Calrissian,TBD,5,15,Tenacity,circle,Health%,5.88,Speed,13.0,Tenacity%,1.97,Defense%,1.34,Health,399.0
Darth Vader,TBD,5,15,Tenacity,circle,Protection%,23.5,Speed,4.0,Potency%,1.92,Critical Chance%,1.99,Defense,5.0
Rey (Scavenger),TBD,5,15,Offense,circle,Protection%,23.5,Health%,0.66,Critical Chance%,1.8,Speed,5.0,Health,259.0
Resistance Trooper,TBD,5,15,Potency,circle,Protection%,23.5,Offense,24.0,Critical Chance%,2.16,Offense%,0.42,Speed,5.0
Nightsister Zombie,TBD,5,15,Potency,circle,Health%,5.88,Critical Chance%,3.99,Health,876.0,Speed,3.0,Tenacity%,3.0
Obi-Wan Kenobi (Old Ben),TBD,5,15,Potency,circle,Health%,5.88,Potency%,1.67,Critical Chance%,1.24,Offense,25.0,Offense%,0.34
Hera Syndulla,TBD,5,15,Potency,circle,Protection%,23.5,Critical Chance%,1.56,Speed,4.0,Offense%,0.34,Defense%,1.06
Luke Skywalker (Farmboy),TBD,5,15,Potency,circle,Health%,5.88,Potency%,3.31,Protection%,1.15,Offense%,0.41,Health,346.0
Emperor Palpatine,TBD,5,15,Potency,circle,Health%,5.88,Defense%,1.61,Tenacity%,1.96,Health,390.0,Potency%,1.84
Finn,TBD,5,15,Potency,circle,Protection%,23.5,Tenacity%,4.01,Speed,11.0,Offense%,1.01,Protection,1148.0
Admiral Ackbar,TBD,5,15,Speed,circle,Protection%,23.5,Health%,0.66,Health,238.0,Defense,6.0,Offense,43.0
First Order Officer,TBD,5,15,Speed,circle,Protection%,23.5,Defense%,2.35,Offense%,0.38,Protection,438.0,Critical Chance%,1.33
Grand Moff Tarkin,TBD,5,15,Speed,circle,Protection%,23.5,Health,937.0,Health%,1.38,Speed,9.0,Defense%,1.54
BB-8,TBD,5,15,Speed,circle,Health%,5.88,Defense%,1.09,Speed,5.0,Defense,5.0,Protection%,2.0
Grand Admiral Thrawn,TBD,5,15,Speed,circle,Protection%,23.5,Offense,26.0,Critical Chance%,4.92,Protection,667.0,Potency%,1.15
Colonel Starck,TBD,5,15,Speed,circle,Health%,5.88,Potency%,3.26,Offense,63.0,Offense%,0.72,Critical Chance%,1.39
Rey (Jedi Training),TBD,5,15,Health,cross,Health%,5.88,Speed,5.0,Health,934.0,Defense%,1.39,Offense,31.0
Jyn Erso,TBD,5,15,Health,cross,Tenacity%,24.0,Offense,29.0,Offense%,1.28,Health%,0.8,Potency%,1.22
Sun Fac,TBD,5,15,Health,cross,Defense%,11.75,Health%,0.75,Offense%,0.55,Health,254.0,Potency%,1.87
Shoretrooper,TBD,5,15,Health,cross,Health%,5.88,Protection,1219.0,Tenacity%,2.96,Offense%,0.36,Speed,4.0
First Order Stormtrooper,TBD,5,15,Health,cross,Tenacity%,24.0,Potency%,4.32,Defense%,1.57,Speed,4.0,Health,347.0
Poe Dameron,TBD,5,15,Health,cross,Defense%,11.75,Speed,9.0,Offense,76.0,Potency%,1.54,Protection,822.0
Baze Malbus,TBD,5,15,Health,cross,Protection%,23.5,Critical Chance%,3.28,Speed,7.0,Tenacity%,3.49,Health,256.0
Wedge Antilles,TBD,5,15,Health,cross,Tenacity%,24.0,Protection,1353.0,Health,733.0,Speed,11.0,Potency%,1.74
Kylo Ren,TBD,5,15,Health,cross,Offense%,5.88,Potency%,5.25,Speed,3.0,Offense,62.0,Defense,7.0
Grand Admiral Thrawn,TBD,5,15,Health,cross,Protection%,23.5,Health,313.0,Health%,0.93,Defense%,0.94,Offense%,0.5
Commander Luke Skywalker,TBD,5,15,Health,cross,Protection%,23.5,Potency%,5.33,Speed,14.0,Defense%,1.11,Offense%,0.49
Chopper,TBD,5,15,Health,cross,Potency%,24.0,Protection,1237.0,Defense,13.0,Health,423.0,Protection%,1.55
K-2SO,TBD,5,15,Health,cross,Potency%,24.0,Protection,1324.0,Health,672.0,Health%,1.11,Critical Chance%,1.19
Stormtrooper Han,TBD,5,15,Health,cross,Protection%,23.5,Defense,17.0,Potency%,1.2,Speed,4.0,Health,336.0
Finn,TBD,5,15,Health,cross,Protection%,23.5,Health,895.0,Speed,5.0,Health%,0.93,Defense,6.0
